page_num,course
25,AB HUM
28,AB IS
29,AB IS
30,AB IS
31,AB IS
32,AB IS
33,AB IS
34,AB IS
35,AB IS
36,AB IS
37,AB IS
38,AB IS
39,AB IS
98,AB LIT (ENG)
99,AB LIT (ENG)
100,AB LIT (ENG)
115,AB LIT (FIL)
119,AB PH 
120,AB PH 
121,AB PH
134,BFA AM
140,BFA CW
141,BFA CW
142,BFA CW
159,BFA ID
160,BFA ID
161,BFA ID
162,BFA ID
163,BFA ID
164,BFA ID
165,BFA ID
200,BFA TA
211,BS COMTECH
212,BS COMTECH
213,BS COMTECH
214,BS COMTECH
215,BS COMTECH
216,BS COMTECH
217,BS COMTECH
218,BS COMTECH
219,BS COMTECH
220,BS COMTECH
221,BS COMTECH
222,BS COMTECH
223,BS COMTECH
224,BS COMTECH
296,BS ITE 
297,BS ITE
308,BS LM 
309,BS LM 
310,BS LM 
311,BS LM 
312,BS LM 
313,BS LM 
314,BS LM 
315,BS LM 
316,BS LM 
317,BS LM 
318,BS LM 
319,BS LM 
380,BS MAC
381,BS MAC
382,BS MAC
383,BS MAC
403,BS ME
404,BS ME
405,BS ME
406,BS ME
407,BS ME
408,BS ME
409,BS ME
410,BS ME
411,BS ME
412,BS ME
413,BS ME
414,BS ME
415,BS ME
416,BS ME
485,BS MGT
486,BS MGT
487,BS MGT
488,BS MGT
489,BS MGT
490,BS MGT
491,BS MGT
492,BS MGT
493,BS MGT
494,BS MGT
495,BS MGT
496,BS MGT
497,BS MGT
498,BS MGT
499,BS MGT
500,BS MGT
501,BS MGT
502,BS MGT
503,BS MGT
504,BS MGT
505,BS MGT
506,BS MGT
507,BS MGT
508,BS MGT
509,BS MGT
510,BS MGT
511,BS MGT
512,BS MGT
513,BS MGT
514,BS MGT
665,BS MGT-H
679,BS APS
686,BS BIO 
687,BS BIO 
688,BS BIO 
702,BS CH
703,BS CH
704,BS CH
705,BS CH
725,BS COE
726,BS COE
735,BS CS
736,BS CS
737,BS CS
738,BS CS
760,BS ECE 
761,BS ECE 
762,BS ECE 
763,BS ECE 
782,BS ES
783,BS ES
792,BS HS
793,BS HS
794,BS HS
795,BS HS
796,BS HS
797,BS HS
798,BS HS
799,BS HS
841,BS LFSCI
842,BS LFSCI
843,BS LFSCI
844,BS LFSCI
845,BS LFSCI
846,BS LFSCI
847,BS LFSCI
880,BS MA 
881,BS MA 
889,BS MIS
890,BS MIS
891,BS MIS
892,BS MIS
893,BS MIS
894,BS MIS
895,BS MIS
896,BS MIS
938,BS MSE 
939,BS MSE 
951,BS PS
955,BS AMF
956,BS AMF
957,BS AMF
958,BS AMF
959,BS AMF
960,BS AMF
998,BS CHNS
1004,AB COM 
1005,AB COM 
1006,AB COM 
1007,AB COM 
1008,AB COM 
1009,AB COM 
1010,AB COM 
1011,AB COM 
1012,AB COM 
1013,AB COM 
1014,AB COM 
1068,AB DIP IR
1069,AB DIP IR
1070,AB DIP IR
1071,AB DIP IR
1093,AB DS
1094,AB DS
1095,AB DS
1096,AB DS
1115,AB EC
1116,AB EC
1117,AB EC
1118,AB EC
1119,AB EC
1120,AB EC
1148,AB EC-H 
1149,AB EC-H 
1157,AB EU 
1158,AB EU 
1159,AB EU 
1160,AB EU 
1161,AB EU 
1162,AB EU 
1190,AB HI 
1196,AB MEC 
1197,AB MEC 
1198,AB MEC 
1199,AB MEC 
1200,AB MEC 
1201,AB MEC 
1202,AB MEC 
1203,AB MEC 
1204,AB MEC 
1205,AB MEC 
1257,AB POS 
1258,AB POS 
1259,AB POS 
1260,AB POS 
1261,AB POS 
1288,AB PSY
1289,AB PSY
1290,AB PSY
1291,AB PSY
1292,AB PSY
1293,AB PSY
1294,AB PSY
1295,AB PSY
1334,AB SOS
1335,AB SOS
1345,BS PSY
1346,BS PSY
1347,BS PSY
1348,BS PSY
1349,BS PSY
1350,BS PSY
1351,BS PSY
1352,BS PSY
1353,BS PSY
1354,BS PSY
1355,BS PSY
1356,BS PSY
