page_num ,course
25,AB HUM
28,AB IS
29,AB IS
30,AB IS
31,AB IS
32,AB IS
33,AB IS
34,AB IS
35,AB IS
36,AB IS
37,AB IS
38,AB IS
39,AB IS
98,AB LIT (ENG)
99,AB LIT (ENG)
100,AB LIT (ENG)
115,AB LIT (FIL)
119,AB PH
120,AB PH
121,AB PH
134,BFA AM
140,BFA CW
141,BFA CW
142,BFA CW
159,BFA ID
160,BFA ID
161,BFA ID
162,BFA ID
163,BFA ID
164,BFA ID
165,BFA ID
200,BFA TA
211,BS COMTECH
212,BS COMTECH
213,BS COMTECH
214,BS COMTECH
215,BS COMTECH
216,BS COMTECH
217,BS COMTECH
218,BS COMTECH
219,BS COMTECH
220,BS COMTECH
221,BS COMTECH
222,BS COMTECH
223,BS COMTECH
224,BS COMTECH
296,BS ITE
297,BS ITE
308,BS LM
309,BS LM
310,BS LM
311,BS LM
312,BS LM
313,BS LM
314,BS LM
315,BS LM
316,BS LM
317,BS LM
318,BS LM
319,BS LM
380,BS MAC
381,BS MAC
382,BS MAC
383,BS MAC
403,BS ME
404,BS ME
405,BS ME
406,BS ME
407,BS ME
408,BS ME
409,BS ME
410,BS ME
411,BS ME
412,BS ME
413,BS ME
414,BS ME
415,BS ME
416,BS ME
485,BS MGT 
486,BS MGT 
487,BS MGT 
488,BS MGT 
489,BS MGT 
490,BS MGT 
491,BS MGT 
492,BS MGT 
493,BS MGT 
494,BS MGT 
495,BS MGT 
496,BS MGT 
497,BS MGT 
498,BS MGT 
499,BS MGT 
500,BS MGT 
501,BS MGT 
502,BS MGT 
503,BS MGT 
504,BS MGT 
505,BS MGT 
506,BS MGT 
507,BS MGT 
508,BS MGT 
509,BS MGT 
510,BS MGT 
511,BS MGT 
512,BS MGT 
513,BS MGT 
514,BS MGT 
665,BS MGT-H
679,BS APS
678,BS BIO
679,BS BIO
680,BS BIO
694,BS CH
695,BS CH
696,BS CH
697,BS CH
717,BS COE 
718,BS COE 
727,BS CS
728,BS CS
729,BS CS
730,BS CS
752,BS ECE
753,BS ECE
754,BS ECE
755,BS ECE
774,BS ES
775,BS ES
784,BS HS
785,BS HS
786,BS HS
787,BS HS
788,BS HS
789,BS HS
790,BS HS
791,BS HS
833,BS LFSCI
834,BS LFSCI
835,BS LFSCI
836,BS LFSCI
837,BS LFSCI
838,BS LFSCI
839,BS LFSCI
872,BS MA 
873,BS MA
881,BS MIS 
882,BS MIS 
883,BS MIS 
884,BS MIS 
885,BS MIS 
886,BS MIS 
887,BS MIS 
888,BS MIS 
930,BS MSE
931,BS MSE
943,BS PS 
947,BS AMF 
948,BS AMF 
949,BS AMF 
950,BS AMF 
951,BS AMF 
952,BS AMF 
990,AB CHNS
996,AB COM
997,AB COM
998,AB COM
999,AB COM
1000,AB COM
1001,AB COM
1002,AB COM
1003,AB COM
1004,AB COM
1005,AB COM
1006,AB COM
1060,AB DIP IR
1061,AB DIP IR
1062,AB DIP IR
1063,AB DIP IR
1085,AB DS 
1086,AB DS 
1087,AB DS 
1088,AB DS 
1107,AB EC
1108,AB EC
1109,AB EC 
1110,AB EC 
1111,AB EC 
1112,AB EC
1140,AB EC-H
1141,AB EC-H 
1149,AB EU
1150,AB EU
1151,AB EU
1152,AB EU
1153,AB EU
1154,AB EU
1182,AB HI
1188,AB MEC
1189,AB MEC
1190,AB MEC
1191,AB MEC
1192,AB MEC
1193,AB MEC
1194,AB MEC
1195,AB MEC
1196,AB MEC
1197,AB MEC
1249,AB POS
1250,AB POS
1251,AB POS
1252,AB POS
1253,AB POS
1280,AB PSY 
1281,AB PSY 
1282,AB PSY 
1283,AB PSY 
1284,AB PSY 
1285,AB PSY 
1286,AB PSY 
1287,AB PSY 
1326,AB SOS
1327,AB SOS
1337,BS PSY
1338,BS PSY
1339,BS PSY
1340,BS PSY
1341,BS PSY
1342,BS PSY
1343,BS PSY
1344,BS PSY
1345,BS PSY
1346,BS PSY
1347,BS PSY
1348,BS PSY
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
